Folder name,Folder color,Latitude,Longitude,Title,Description,Color,Phone number,Timestamp,Pin icon code
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.262297417401341,-38.1249400600791,1,BITWAVE ,ff5722,,2026-07-06T16:39:20Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.353930915298336,-38.11709459871054,1,BITWAVE ,ff5722,,2026-07-07T16:48:32Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.357015908355756,-38.1830008327961,1,BITWAVE ,ff5722,,2026-07-07T17:23:15Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.356657865272162,-38.11371769756079,1,BITWAVE ,ff5722,,2026-07-07T16:42:35Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.351746540004158,-38.22757311165333,1,BITWAVE ,ff5722,,2026-07-07T18:22:05Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.3576788392173675,-38.117845952510834,1,BITWAVE ,ff5722,,2026-07-07T16:52:11Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.356485028353808,-38.1172089278698,1,BITWAVE ,ff5722,,2026-07-07T16:45:22Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.355210313065915,-38.20076543837786,1,BITWAVE ,ff5722,,2026-07-07T17:34:33Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.342195924846321,-38.20226076990366,1,BITWAVE ,ff5722,,2026-07-07T18:46:47Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.342271145439738,-38.19924261420965,1,BITWAVE ,ff5722,,2026-07-07T18:12:56Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.355255110335311,-38.234970308840275,1,BITWAVE ,ff5722,,2026-07-08T12:34:47Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.356177799768394,-38.11559323221445,2,BITWAVE ,ff5722,,2026-07-07T16:41:40Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.3594222476443365,-38.11758141964674,2,BITWAVE ,ff5722,,2026-07-07T16:53:42Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.358648997195727,-38.19915108382702,2,BITWAVE ,ff5722,,2026-07-07T17:38:13Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.344006566025796,-38.19779422134161,2,BITWAVE ,ff5722,,2026-07-07T18:08:08Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.348647484292594,-38.24085809290409,2,BITWAVE ,ff5722,,2026-07-07T18:25:26Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.3432132409478985,-38.20036981254816,2,BITWAVE ,ff5722,,2026-07-07T18:47:33Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.356490711579988,-38.19871757179499,3,BITWAVE,ff5722,,2026-07-07T17:37:04Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.354749302205717,-38.11690919101238,3,BITWAVE ,ff5722,,2026-07-07T16:46:43Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.350841897874876,-38.1993143633008,3,BITWAVE ,ff5722,,2026-07-07T17:32:26Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.350857944751391,-38.249432779848576,3,BITWAVE ,ff5722,,2026-07-07T18:27:37Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.3596248371245085,-38.234259858727455,3,BITWAVE ,ff5722,,2026-07-08T12:39:26Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.355424938765223,-38.192285634577274,4,BITWAVE,ff5722,,2026-07-07T17:26:37Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.359160820214616,-38.20255246013403,4,BITWAVE ,ff5722,,2026-07-07T17:41:06Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.361800497604066,-38.208213932812214,4,BITWAVE ,ff5722,,2026-07-07T17:43:21Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.402383029270455,-38.21138195693493,4,BITWAVE ,ff5722,,2026-07-08T13:15:44Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.353698905122633,-38.236394226551056,4,BITWAVE ,ff5722,,2026-07-08T12:35:48Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.351844826999315,-38.22671715170145,5,BITWAVE ,ff5722,,2026-07-07T18:21:43Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.350878671966368,-38.19576010107994,5,BITWAVE ,ff5722,,2026-07-07T17:52:46Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.353893472738802,-38.19623317569494,5,BITWAVE ,ff5722,,2026-07-07T17:28:40Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.402316840458346,-38.21047201752663,5,BITWAVE ,ff5722,,2026-07-08T13:14:55Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.402200174305519,-38.20957716554403,5,BITWAVE ,ff5722,,2026-07-08T13:14:30Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.402126296875496,-38.20865046232939,5,BITWAVE ,ff5722,,2026-07-08T13:13:46Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.352112608849577,-38.22512995451689,6,BITWAVE ,ff5722,,2026-07-07T18:20:50Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.357697560403162,-38.23647033423185,6,BITWAVE ,ff5722,,2026-07-08T12:37:46Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.402484318198778,-38.21231435984373,6,BITWAVE ,ff5722,,2026-07-08T13:16:21Z,-1
BEBERIBE/ITAPEIM/CAIXAS/BITWAVE ,ff5722,-4.357088787319209,-38.188289143145084,8,BITWAVE ,ff5722,,2026-07-07T17:25:42Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.344642429013005,-38.12475197017193,,CX CEO SEM ID,607d8b,,2026-07-07T12:48:37Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.225612793104497,-38.11331268399954,0,SEM ID,607d8b,,2026-07-06T16:32:02Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.30095251798834,-38.09217184782028,0,SEM ID,607d8b,,2026-07-06T17:06:37Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.300541289577177,-38.093456625938416,0,SEM ID ,607d8b,,2026-07-06T17:14:41Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.2266128773520695,-38.11287045478821,0,SEM ID ,607d8b,,2026-07-06T16:33:02Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.2267967776918205,-38.11201114207506,0,SEM ID ,607d8b,,2026-07-06T14:48:18Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.224417438291391,-38.11290364712477,0,SEM ID ,607d8b,,2026-07-06T14:46:56Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.2261507857604075,-38.112258575856686,0,SEM ID ,607d8b,,2026-07-06T14:47:53Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.226830214112538,-38.112088926136494,0,SEM ID ,607d8b,,2026-07-06T14:48:31Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.224017202995452,-38.13543487340212,0,SEM ID ,607d8b,,2026-07-06T14:14:58Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.3028234372905745,-38.09857629239559,0,SEM ID ,607d8b,,2026-07-06T17:00:12Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.345375910678277,-38.1629878655076,0,SEM ID ,607d8b,,2026-07-06T18:50:11Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.3705385124010085,-38.04654277861118,0,SEM ID ,607d8b,,2026-07-07T13:20:28Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.365134514564923,-38.05978249758482,0,SEM ID ,607d8b,,2026-07-07T13:13:41Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.350782056394896,-38.182154931128025,0,SEM ID ,607d8b,,2026-07-07T17:21:27Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.3663737768960695,-38.0525754019618,0,SEM ID ,607d8b,,2026-07-07T13:18:17Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.366367759441619,-38.0525616556406,0,SEM ID ,607d8b,,2026-07-07T13:18:09Z,-1
BEBERIBE/ITAPEIM/CAIXAS/CX SEM ID /FIBRA ,607d8b,-4.385594282704648,-38.05687263607979,0,SEM ID ,607d8b,,2026-07-07T14:28:01Z,-1
